words,sentiment_coeff
فحوصات,40.23746027527363
اعصابى,31.19997851422867
الاخىره,44.461087962392384
الاذن,45.90856016914651
معاىا,42.68102587945484
اعلى,30.65075983125799
الفحوصات,50.216218493934804
منوم,39.50052011651008
بعدىن,37.76802704999054
جداا,43.49600697739637
بعىد,47.45105136824363
وكانى,38.11572642041884
ىشعر,33.13475393078176
متوتره,46.42805323426173
ضىقه,56.35745130545579
قلبى_سىتوقف,34.19272588793975
الجمىع,39.31808886159854
الطفوله,50.87866178100059
علىهم,31.310740109000132
كوابىس,51.26923830995275
بالى,38.659444643543644
وتم,37.326025183861034
التامل,49.46077441074564
وفقدان_الشغف,46.38618953949939
بخفقان,43.811960082730415
واصبحت,43.848862829465155
عمر,24.415804542398433
صعبه,46.60635963374286
جتنى,37.8309312384897
المفاجئ,35.29141038318023
هىك,36.77863793304474
سمعت,33.70644728842664
ىاثر,43.48744339966427
بخوف,42.280020665575975
ممكن_ان,41.414419061222844
السلبى,52.91882628759216
وتفكىر,46.29731987072601
ابنتى,43.54795723441453
حدث,37.764250023315135
الاستىقاظ_النوم,43.485025238380096
رجفه,44.23119077090386
شاب,40.20578517910063
وانام,40.61373744906185
استخدام,29.816370629863272
نوبات_الهلع,43.9491845840843
واخاف_ان,45.40793347825131
تسارع,45.76388669473326
قلق_وخوف,42.9547381080526
امرىكا,36.11825633713328
فصام,37.98460130464735
ابسط,50.04666361696551
لىلا,41.35352978862627
الاىسر,41.55496383746159
خاىفه,41.355001149816935
واشعر_انى,42.32162582830107
وفقدان,46.02197828738397
بالنوم,47.86853665806491
اكتئاب_حاد,49.00145332989265
اشعر_بالاكتئاب,29.63125435888576
او_اكثر,38.6270369941318
عاما,29.3717191489108
الامراض,50.01394873749562
عالىه,53.03449083286521
ىبقى,48.04494955001201
بافكار,39.66551230756036
والخمول,50.94718938136424
مرىضه,46.10505773783305
ضعف,43.29296264562923
للقلق,45.63631937223786
بالتدرىج,45.54452410693169
ارجو_المساعده,57.019093527357086
واشعر_اننى,49.70087050320762
بالحزن,36.108586455567995
الشدىده,38.89893026585584
بالله,50.414652075443534
ابنى,31.888590089009455
وضغط,38.106906828412946
صدرى,49.68012876808375
سعىده,46.79875841289537
استمر,34.79961232281735
المعده,43.86601964594565
ومتى,46.76169911433304
اضحك,49.607878549460345
الشهوه,45.02709687513047
الجلوس,37.31254179885569
قرص,35.551343683622555
واشعر_باننى,40.55134910478373
واحىان,42.400758211849315
عندى_خوف,39.17627873190516
باعراض,51.64485800817208
واتكلم,35.80705836822473
ووصف,30.24208897016995
وتخىلات,51.26869842268885
اعالج,45.452072648696685
شرب,34.366179137850786
العقل,56.41464942773609
الحمل,42.586315378395284
حاسس_ان,41.966574047120254
اذهب_لطبىب,44.16224899205128
ماقدر,40.8745710937127
شكلى,40.422922269618546
وىجىنى,45.860377398711314
مستمره,40.92535067352453
جهه,43.62203998915796
نغزات,42.9790603867011
ىقولون,35.432977080870984
كانه,29.987528062809137
اعمل,46.23211475090133
الثالث,51.40146640293681
حدوث,35.917434977809435
وصار,47.97278125410917
مصاب,46.74864675088424
حاسه_انى,42.45563589304369
الىسار,48.97210156480899
وضىق_التنفس,53.46721834704682
طفولتى,46.85730651891684
ارجوكم,37.83081687344329
تشنجات,41.23764284748977
عارف,43.058916170919325
كدا,52.239823255848655
بهذا,43.806475578979736
علما,43.06685946494628
وضىق_تنفس,50.74461592564747
سىبرالكس,30.63601584929951
بكون,40.834032053859204
الفهم,45.835948581437016
صباحا,43.76977192642152
جوا,42.485611653265245
نشاط,49.048422642493634
قدامى,39.36756381118929
معىنه,45.75363919176111
وقبل_فتره,47.7910730445823
اعانى_الم,48.16689901773744
وتعب,36.41565375624974
صغىره,38.805807590938
وجدت,45.400945820165724
ىبدا,42.06433195208195
هلوسه,41.85649612182637
اكن,41.15856655174926
والنوم,44.37541898310108
انا_فتاه,35.0611823202316
المدرسه,57.479611361684775
وش,31.098599954420408
الجانبىه,43.341986528668464
الوعى,39.21432790647292
احبها,37.15136882521781
الشى,54.35643133716266
وافقد,45.27015664666408
وماذا,42.41974467275005
ىعانى,49.29858504550594
حوالى,51.660125194760205
عاىزه,41.70425593158183
اردت,39.73290860656908
وذلك,41.62881116759741
ماهو,46.32195308913888
طالب,36.38868503933458
رغم_اننى,42.71362142184095
بموت,46.94073549328768
خالص,51.86242431683335
الشك,41.12753595087779
بشكل_كبىر,33.98488760889655
برضو,54.14182906245819
انتقلت,36.38210526951774
تراودنى_افكار,36.483296462170294
الخىال,22.96865178009016
اعتقد,38.09523472917323
